,Nombre_anillo,Descripcion,Precio
0,Anillo Sello Ribbon,925 sterling silver / 18K gold plating,69
1,Anillo Spark,925 sterling silver / 18K gold plating,49
2,Anillo Desire,925 sterling silver / 18K gold plating,79
3,Anillo Natura,925 sterling silver / 18K gold plating,55
4,Anillo Stare,925 sterling silver / 18K gold plating,49
5,Anillo Bright Heart,925 sterling silver / 18K gold plating,85
6,Anillo Anna,925 sterling silver / 18K gold plating,59
7,Anillo The Zipper,925 sterling silver / 18K gold plating,65
8,Anillo Lea,925 sterling silver / 18K gold plating,39
9,Anillo Cruise,925 sterling silver / 18K gold plating,99
10,Anillo Sello Lace,925 sterling silver / 18K gold plating,69
11,Anillo Sello Lace,925 sterling silver / 18K gold plating,69
12,Anillo Spiral,925 sterling silver / 18K gold plating,39
13,Anillo Nuvola,925 sterling silver / 18K gold plating,55
14,Anillo Crush,925 sterling silver / 18K gold plating,55
15,Anillo Lua,925 sterling silver / 18K gold plating,45
16,Anillo Lake,925 sterling silver / 18K gold plating,65
17,Anillo Lake,925 sterling silver / 18K gold plating,65
18,Anillo Infinity,925 sterling silver / 18K gold plating,89
19,Anillo Sello,925 sterling silver / 18K gold plating,69
20,Anillo Juno,925 sterling silver / 18K gold plating / Piedras Semipreciosas,125
21,Anillo Villa,925 sterling silver / 18K gold plating / Piedras Semipreciosas,79
22,Anillo April,925 sterling silver / 18K gold plating / Piedras Semipreciosas,89
23,Anillo Patio,925 sterling silver / 18K gold plating / Piedras Semipreciosas,89
24,Anillo Golden Gem,925 sterling silver / 18K gold plating,65
25,Anillo Sello Lace,925 sterling silver / 18K gold plating,69
26,Anillo Sello Octet,925 sterling silver / 18K gold plating,69
27,Anillo Sello Octet,925 sterling silver / 18K gold plating,69
28,Anillo de Oro Amarillo Wave,18K solid yellow gold,250
29,Anillo Couplet,925 sterling silver / 18K gold plating,39
30,Anillo Dance,925 sterling silver / 18K gold plating,55
31,Anillo Dance,925 sterling silver / 18K gold plating,55
32,Anillo Cruise,925 sterling silver / 18K gold plating,99
33,Anillo Sisi,925 sterling silver / 18K gold plating,65
34,Anillo Sisi,925 sterling silver / 18K gold plating,65
35,Anillo Air,925 sterling silver / 18K gold plating,49
